Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
06/08/2026 11:00 AM CT,"9900 S THOMAS DR 2016 PANAMA CITY BEACH, FL- 32408","$32,387.08","$281,877.00","$32,387.08",24000437CA,40000-650-355,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=24000437CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=40000-650-355
06/08/2026 11:00 AM CT,"2428 CANAL ST LYNN HAVEN, FL- 32444","$194,384.82",,"$174,200.00",25000329CA,Property,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000329CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=Property
06/11/2026 11:00 AM CT,"605 LORI LN LYNN HAVEN, FL- 32444","$85,161.74","$101,737.00","$85,161.74",19002967CA,11678-912-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=19002967CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=11678-912-000
06/15/2026 11:00 AM CT,"519 PALERMO RD PANAMA CITY, FL- 32405","$189,431.26","$148,252.00","$189,431.26",25000343CA,11677-009-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000343CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=11677-009-000
06/15/2026 11:00 AM CT,"1012 VIRGINIA CT PANAMA CITY, FL- 32404","$107,112.00","$141,744.00","$107,112.00",25000769CA,06000-088-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000769CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=06000-088-000
06/15/2026 11:00 AM CT,"3906 W 24TH CT PANAMA CITY, FL- 32405","$100,700.39","$87,362.00",Hidden,25000949CA,27279-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25000949CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=27279-000-000
06/15/2026 11:00 AM CT,"2131 N EAST AVE PANAMA CITY, FL- 32405","$2,384,338.51","$2,751,509.00","$2,384,338.51",25001266CA,14660-120-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=25001266CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=14660-120-000
06/16/2026 11:00 AM CT,"348 N PALO ALTO AVE PANAMA CITY, FL- 32401","$192,614.78","$144,166.00","$192,614.78",22000965CA,21176-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=22000965CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=21176-000-000
06/16/2026 11:00 AM CT,"1716 N EAST AVE PANAMA CITY, FL- 32405","$28,383.11","$733,590.00","$28,383.11",26000042CA,14830-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=26000042CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=14830-000-000
06/16/2026 11:00 AM CT,"1607 TRANSMITTER RD PANAMA CITY, FL- 32405","$23,499.07","$522,430.00","$23,499.07",26000042CA,14820-000-000,https://bay.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=26000042CA&bypassPage=1,https://qpublic.schneidercorp.com/Application.aspx?AppID=838&LayerID=15181&PageTypeID=4&PageID=6818&Q=1127707165&KeyValue=14820-000-000
